terminal_city,result_category,best_known_feasible_cost_s,distance_m,city_order,actual_first_hit_order,failure_reason,failing_transition_or_state,provenance
Łódź,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Wrocław -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Łódź,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=14813,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":14813}"
Kielce,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Wrocław -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Kielce,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=13021,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":13021}"
Lublin,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Wrocław -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Kraków -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Lublin,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=17021,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":17021}"
Rzeszów,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Wrocław -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=4989,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":4989,""scheduled_result_reused_from"":""deterministic-random-restart-0""}"
Kraków,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Wrocław -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Kraków,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=20861,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":20861}"
Katowice,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Wrocław -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Poznań -> Toruń -> Rzeszów -> Katowice,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=8605,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":8605}"
Opole,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Wrocław -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Opole,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=16733,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":16733}"
Wrocław,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Wrocław,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=11709,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":11709}"
Zielona Góra,TIMEOUT,,,Warszawa -> Olsztyn -> Opole -> Wrocław -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Zielona Góra,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=15709,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":15709}"
Gorzów Wielkopolski,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Wrocław -> Łódź -> Gdańsk -> Kielce -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Gorzów Wielkopolski,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=15613,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":15613}"
